country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Senegal,2020-05-24,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-25,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-26,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-27,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-28,10655,39875,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-29,0,39875,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-30,2705,42580,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-31,0,42580,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-06-01,0,42580,Senegal,https://africacdc.org/covid-19/,Senegal
Serbia,2020-02-28,30,30,Serbia,https://www.zdravlje.gov.rs/vest/345928/informacije-o-novom-korona-virusu-28022020-1800.php,Serbia
Serbia,2020-02-29,3,33,Serbia,https://www.zdravlje.gov.rs/vest/345944/informacije-o-novom-korona-virusu-do-18-casova.php,Serbia
Serbia,2020-03-01,3,36,Serbia,https://www.zdravlje.gov.rs/vest/345952/informacije-o-novom-korona-virusu-za-01032020-godine-do-18-casova-.php,Serbia
Serbia,2020-03-02,9,45,Serbia,https://www.zdravlje.gov.rs/vest/346020/informacije-o-novom-korona-virusu-02032020-u-1800-casova.php,Serbia
Serbia,2020-03-03,1,46,Serbia,https://www.zdravlje.gov.rs/vest/346020/informacije-o-novom-korona-virusu-02032020-u-1800-casova.php,Serbia
Serbia,2020-03-04,4,50,Serbia,https://www.zdravlje.gov.rs/vest/346040/informacije-o-novom-korona-virusu-04032020-u-1800-casova.php,Serbia
Serbia,2020-03-05,6,56,Serbia,https://www.zdravlje.gov.rs/vest/346162/informacije-o-novom-korona-virusu-05032020-u-1800-casova.php,Serbia
Serbia,2020-03-06,11,67,Serbia,https://www.zdravlje.gov.rs/vest/346202/informacije-o-novom-korona-virusu-na-dan-06032020-u-18-casova.php,Serbia
Serbia,2020-03-07,24,91,Serbia,https://www.zdravlje.gov.rs/vest/346213/informacije-o-novom-korona-virusu-na-dan-07032020-u-18-casova.php,Serbia
