date,ja,en,count,regions,lat,lng
2020-03-30,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-31,佐賀,Saga Prefecture,2,7,33.28527778,130.1169444
2020-04-01,佐賀,Saga Prefecture,3,7,33.28527778,130.1169444
2020-04-02,佐賀,Saga Prefecture,3,7,33.28527778,130.1169444
2020-04-03,佐賀,Saga Prefecture,5,7,33.28527778,130.1169444
2020-04-04,佐賀,Saga Prefecture,6,7,33.28527778,130.1169444
2020-04-05,佐賀,Saga Prefecture,8,7,33.28527778,130.1169444
2020-04-06,佐賀,Saga Prefecture,8,7,33.28527778,130.1169444
2020-04-07,佐賀,Saga Prefecture,11,7,33.28527778,130.1169444
2020-04-08,佐賀,Saga Prefecture,11,7,33.28527778,130.1169444
2020-04-09,佐賀,Saga Prefecture,12,7,33.28527778,130.1169444
2020-04-10,佐賀,Saga Prefecture,12,7,33.28527778,130.1169444
2020-04-11,佐賀,Saga Prefecture,13,7,33.28527778,130.1169444
2020-04-12,佐賀,Saga Prefecture,13,7,33.28527778,130.1169444
2020-04-13,佐賀,Saga Prefecture,13,7,33.28527778,130.1169444
2020-04-14,佐賀,Saga Prefecture,15,7,33.28527778,130.1169444
2020-04-15,佐賀,Saga Prefecture,15,7,33.28527778,130.1169444
2020-04-16,佐賀,Saga Prefecture,15,7,33.28527778,130.1169444
2020-04-17,佐賀,Saga Prefecture,16,7,33.28527778,130.1169444
2020-04-18,佐賀,Saga Prefecture,16,7,33.28527778,130.1169444
2020-04-19,佐賀,Saga Prefecture,17,7,33.28527778,130.1169444
2020-01-15,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-16,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-17,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-18,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-19,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-20,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-21,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-22,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-23,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-24,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-25,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-26,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-27,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-28,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-29,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-30,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-01-31,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-01,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-02,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-03,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-04,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-05,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-06,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-07,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-08,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-09,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-10,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-11,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-12,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-13,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-14,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-15,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-16,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-17,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-18,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-19,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-20,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-21,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-22,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-23,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-24,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-25,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-26,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-27,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-28,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-02-29,兵庫,Hyogo Prefecture,0,4,35.03694444,134.8286111
2020-03-01,兵庫,Hyogo Prefecture,1,4,35.03694444,134.8286111
2020-03-02,兵庫,Hyogo Prefecture,1,4,35.03694444,134.8286111
2020-03-03,兵庫,Hyogo Prefecture,3,4,35.03694444,134.8286111
2020-03-04,兵庫,Hyogo Prefecture,3,4,35.03694444,134.8286111
2020-03-05,兵庫,Hyogo Prefecture,4,4,35.03694444,134.8286111
2020-03-06,兵庫,Hyogo Prefecture,8,4,35.03694444,134.8286111
2020-03-07,兵庫,Hyogo Prefecture,10,4,35.03694444,134.8286111
2020-03-08,兵庫,Hyogo Prefecture,12,4,35.03694444,134.8286111
2020-03-09,兵庫,Hyogo Prefecture,16,4,35.03694444,134.8286111
2020-03-10,兵庫,Hyogo Prefecture,24,4,35.03694444,134.8286111
2020-03-11,兵庫,Hyogo Prefecture,37,4,35.03694444,134.8286111
2020-03-12,兵庫,Hyogo Prefecture,46,4,35.03694444,134.8286111
2020-03-13,兵庫,Hyogo Prefecture,56,4,35.03694444,134.8286111
2020-03-14,兵庫,Hyogo Prefecture,67,4,35.03694444,134.8286111
2020-03-15,兵庫,Hyogo Prefecture,78,4,35.03694444,134.8286111
2020-03-16,兵庫,Hyogo Prefecture,82,4,35.03694444,134.8286111
2020-03-17,兵庫,Hyogo Prefecture,86,4,35.03694444,134.8286111
2020-03-18,兵庫,Hyogo Prefecture,91,4,35.03694444,134.8286111
2020-03-19,兵庫,Hyogo Prefecture,93,4,35.03694444,134.8286111
2020-03-20,兵庫,Hyogo Prefecture,101,4,35.03694444,134.8286111
2020-03-21,兵庫,Hyogo Prefecture,107,4,35.03694444,134.8286111
2020-03-22,兵庫,Hyogo Prefecture,111,4,35.03694444,134.8286111
2020-03-23,兵庫,Hyogo Prefecture,113,4,35.03694444,134.8286111
2020-03-24,兵庫,Hyogo Prefecture,118,4,35.03694444,134.8286111
2020-03-25,兵庫,Hyogo Prefecture,119,4,35.03694444,134.8286111
