date,tests,confirmed,deaths,recovered,hosp,vent,icu,severe,population,administrative_area_level,administrative_area_level_1,administrative_area_level_2,jis_code
2020-11-17,3077699,121334,1919,104609,12698,,,272,126216142,1,Japan,,
2020-11-18,3106559,123527,1933,105668,13118,,,276,126216142,1,Japan,,
2020-11-19,3141189,125912,1954,106906,13973,,,280,126216142,1,Japan,,
2020-11-20,3182204,128333,1968,108406,14832,,,291,126216142,1,Japan,,
2020-11-21,3225667,130925,1980,109869,15751,,,313,126216142,1,Japan,,
2020-11-22,3252523,133084,1987,111138,16957,,,323,126216142,1,Japan,,
2020-11-23,3274654,134602,1995,112241,18019,,,331,126216142,1,Japan,,
2020-11-24,3286323,135831,2014,113306,18513,,,345,126216142,1,Japan,,
2020-11-25,3331392,137773,2035,114706,18517,,,376,126216142,1,Japan,,
2020-11-26,3374063,140273,2064,116352,18692,,,410,126216142,1,Japan,,
2020-11-27,3418520,142804,2095,118098,19227,,,435,126216142,1,Japan,,
2020-11-28,3463672,145479,2109,120232,19646,,,440,126216142,1,Japan,,
2020-11-29,3485979,147541,2125,121281,21130,,,462,126216142,1,Japan,,
2020-11-30,3497954,148977,2151,123402,21052,,,472,126216142,1,Japan,,
2020-12-01,3545916,151010,2192,125342,21056,,,493,126216142,1,Japan,,
2020-12-02,3591597,153442,2224,127276,20742,,,488,126216142,1,Japan,,
2020-12-03,3636512,155959,2260,129217,21180,,,497,126216142,1,Japan,,
2020-12-04,3675244,158411,2305,131150,21704,,,505,126216142,1,Japan,,
2020-12-05,3715130,160919,2327,133416,21871,,,520,126216142,1,Japan,,
2020-12-06,3740146,162957,2358,135253,22389,,,519,126216142,1,Japan,,
2020-12-07,3760305,164488,2397,136875,22680,,,530,126216142,1,Japan,,
2020-12-08,3800689,166664,2444,138967,22339,,,536,126216142,1,Japan,,
2020-12-09,3842524,169474,2486,140589,22550,,,555,126216142,1,Japan,,
2020-12-10,3898969,172442,2512,142970,22815,,,543,126216142,1,Japan,,
2020-12-11,3945830,175240,2553,144974,23774,,,554,126216142,1,Japan,,
2020-12-12,4001554,178276,2581,147482,23990,,,578,126216142,1,Japan,,
2020-12-13,4032816,180660,2601,149239,25113,,,583,126216142,1,Japan,,
2020-12-14,4048710,182340,2648,150893,25672,,,588,126216142,1,Japan,,
2020-12-15,4105648,184765,2701,153435,25230,,,592,126216142,1,Japan,,
2020-12-16,4153589,187761,2754,155436,25281,,,618,126216142,1,Japan,,
2020-12-17,4209796,190970,2792,158066,25411,,,605,126216142,1,Japan,,
2020-12-18,4274633,193807,2840,160661,25741,,,609,126216142,1,Japan,,
2020-12-19,4333017,196796,2880,163205,26169,,,598,126216142,1,Japan,,
2020-12-20,4362886,199287,2916,165220,26852,,,593,126216142,1,Japan,,
2020-12-21,4379067,201098,2964,167453,26941,,,603,126216142,1,Japan,,
2020-12-22,4439273,203792,3012,169248,27291,,,620,126216142,1,Japan,,
2020-12-23,4473256,207068,3068,171955,27017,,,619,126216142,1,Japan,,
2020-12-24,4547779,210813,3122,174721,27224,,,644,126216142,1,Japan,,
2020-12-25,4613939,214646,3186,177672,28295,,,644,126216142,1,Japan,,
2020-12-26,4676504,218531,3233,180046,29413,,,654,126216142,1,Japan,,
2020-12-27,4711851,221475,3273,182500,30505,,,659,126216142,1,Japan,,
2020-12-28,4725966,223883,3324,184556,31244,,,661,126216142,1,Japan,,
2020-12-29,4802239,227498,3383,186804,31844,,,675,126216142,1,Japan,,
2020-12-30,4829069,231367,3442,189335,32629,,,668,126216142,1,Japan,,
2020-12-31,4851937,235901,3491,191351,34166,,,681,126216142,1,Japan,,
2021-01-01,4893318,239156,3540,193422,36186,,,716,126216142,1,Japan,,
2021-01-02,4919897,242228,3571,196117,37324,,,711,126216142,1,Japan,,
2021-01-03,4930035,245394,3631,198195,38159,,,714,126216142,1,Japan,,
2021-01-04,4953004,248736,3679,200380,38871,,,731,126216142,1,Japan,,
2021-01-05,5039832,253686,3755,203312,40052,,,771,126216142,1,Japan,,
2021-01-06,5129612,259735,3820,206837,41054,,,784,126216142,1,Japan,,
2021-01-07,5205293,267377,3884,210206,43573,,,796,126216142,1,Japan,,
2021-01-08,5288555,275335,3962,213584,46934,,,826,126216142,1,Japan,,
2021-01-09,5353628,283189,4021,217198,51281,,,827,126216142,1,Japan,,
2021-01-10,5390986,289297,4066,220420,55390,,,852,126216142,1,Japan,,
2021-01-11,5419086,294203,4114,222842,58769,,,864,126216142,1,Japan,,
2021-01-12,5442315,298800,4178,225268,61598,,,881,126216142,1,Japan,,
2021-01-13,5531305,304715,4275,228936,63073,,,900,126216142,1,Japan,,
2021-01-14,5615256,311372,4341,233419,63779,,,920,126216142,1,Japan,,
2021-01-15,5718894,318544,4419,238324,65250,,,934,126216142,1,Japan,,
2021-01-16,5792647,325586,4475,243821,66761,,,965,126216142,1,Japan,,
2021-01-17,5841014,331346,4524,248344,68447,,,972,126216142,1,Japan,,
2021-01-18,5860490,336282,4582,252651,70114,,,973,126216142,1,Japan,,
2021-01-19,5945692,341617,4686,257481,71270,,,1001,126216142,1,Japan,,
2021-01-20,6053480,347178,4778,264665,69504,,,1014,126216142,1,Japan,,
2021-01-21,6145209,352843,4872,272932,66579,,,1014,126216142,1,Japan,,
2021-01-22,6236054,357900,4981,278914,66239,,,1011,126216142,1,Japan,,
2021-01-23,6338596,362625,5063,285207,65280,,,1009,126216142,1,Japan,,
2021-01-24,6377499,366616,5119,290301,64662,,,1007,126216142,1,Japan,,
2021-01-25,6397540,369379,5193,295203,63793,,,1017,126216142,1,Japan,,
2021-01-26,6481519,373232,5297,301321,61047,,,996,126216142,1,Japan,,
2021-01-27,6548733,377206,5387,307845,58102,,,1043,126216142,1,Japan,,
2021-01-28,6640966,381337,5500,314196,55612,,,1032,126216142,1,Japan,,
2021-01-29,6706393,384875,5597,320013,53624,,,1014,126216142,1,Japan,,
2021-01-30,6789931,388217,5687,325406,51844,,,974,126216142,1,Japan,,
2021-01-31,6832147,390890,5752,330288,50506,,,973,126216142,1,Japan,,
2021-02-01,6851430,392683,5832,333979,49512,,,975,126216142,1,Japan,,
2021-02-02,6921123,395007,5951,339182,46404,,,937,126216142,1,Japan,,
2021-02-03,6981269,397641,6071,343871,43820,,,897,126216142,1,Japan,,
