code,prefecture,total,first,second,category,date
43,熊本県,151671,88275,63396,medical,20210604
44,大分県,103266,56683,46583,medical,20210604
45,宮崎県,82856,48976,33880,medical,20210604
46,鹿児島県,140273,82563,57710,medical,20210604
47,沖縄県,94203,54078,40125,medical,20210604
1,北海道,420618,250086,170532,medical,20210611
2,青森県,93434,54745,38689,medical,20210611
3,岩手県,102026,55915,46111,medical,20210611
4,宮城県,176812,102204,74608,medical,20210611
5,秋田県,76218,43880,32338,medical,20210611
6,山形県,90972,50547,40425,medical,20210611
7,福島県,151195,84704,66491,medical,20210611
8,茨城県,210015,120823,89192,medical,20210611
9,栃木県,130076,73225,56851,medical,20210611
10,群馬県,147384,86669,60715,medical,20210611
11,埼玉県,442203,248222,193981,medical,20210611
12,千葉県,378605,220375,158230,medical,20210611
13,東京都,888744,502186,386558,medical,20210611
14,神奈川県,541120,312476,228644,medical,20210611
15,新潟県,156332,91384,64948,medical,20210611
16,富山県,84013,47392,36621,medical,20210611
17,石川県,97402,55800,41602,medical,20210611
18,福井県,78922,42535,36387,medical,20210611
19,山梨県,60557,34598,25959,medical,20210611
20,長野県,146858,82515,64343,medical,20210611
21,岐阜県,159625,91059,68566,medical,20210611
22,静岡県,228864,131075,97789,medical,20210611
23,愛知県,493430,278391,215039,medical,20210611
24,三重県,133148,73826,59322,medical,20210611
25,滋賀県,93727,53175,40552,medical,20210611
26,京都府,191219,111112,80107,medical,20210611
27,大阪府,546454,321849,224605,medical,20210611
28,兵庫県,367795,214176,153619,medical,20210611
29,奈良県,112198,61075,51123,medical,20210611
30,和歌山県,79193,44860,34333,medical,20210611
31,鳥取県,49279,28076,21203,medical,20210611
32,島根県,60907,35857,25050,medical,20210611
33,岡山県,173486,101209,72277,medical,20210611
34,広島県,219604,125863,93741,medical,20210611
35,山口県,134703,75115,59588,medical,20210611
36,徳島県,82668,45726,36942,medical,20210611
37,香川県,77645,43903,33742,medical,20210611
38,愛媛県,125139,70247,54892,medical,20210611
39,高知県,66545,36208,30337,medical,20210611
40,福岡県,402571,236175,166396,medical,20210611
41,佐賀県,90799,51276,39523,medical,20210611
42,長崎県,124452,68681,55771,medical,20210611
43,熊本県,162118,91307,70811,medical,20210611
44,大分県,112125,59779,52346,medical,20210611
45,宮崎県,89806,51355,38451,medical,20210611
46,鹿児島県,155977,88985,66992,medical,20210611
47,沖縄県,100914,56183,44731,medical,20210611
1,北海道,479104,271936,207168,medical,20210618
2,青森県,102613,57799,44814,medical,20210618
3,岩手県,109732,60241,49491,medical,20210618
4,宮城県,199272,118341,80931,medical,20210618
5,秋田県,81820,45599,36221,medical,20210618
6,山形県,95581,52480,43101,medical,20210618
7,福島県,159561,88224,71337,medical,20210618
8,茨城県,225272,126602,98670,medical,20210618
9,栃木県,135828,75749,60079,medical,20210618
10,群馬県,158623,90271,68352,medical,20210618
11,埼玉県,475962,264078,211884,medical,20210618
12,千葉県,410093,234137,175956,medical,20210618
13,東京都,947398,529040,418358,medical,20210618
14,神奈川県,583647,331804,251843,medical,20210618
15,新潟県,168648,96436,72212,medical,20210618
16,富山県,90365,49858,40507,medical,20210618
17,石川県,102951,57788,45163,medical,20210618
18,福井県,82598,43859,38739,medical,20210618
19,山梨県,64072,35504,28568,medical,20210618
20,長野県,157488,86426,71062,medical,20210618
21,岐阜県,172209,94128,78081,medical,20210618
22,静岡県,244002,137860,106142,medical,20210618
23,愛知県,529985,295653,234332,medical,20210618
24,三重県,145255,78609,66646,medical,20210618
25,滋賀県,99031,54310,44721,medical,20210618
26,京都府,206239,117051,89188,medical,20210618
27,大阪府,591725,342279,249446,medical,20210618
28,兵庫県,392473,223402,169071,medical,20210618
29,奈良県,117977,63850,54127,medical,20210618
30,和歌山県,84869,46504,38365,medical,20210618
31,鳥取県,51084,29236,21848,medical,20210618
32,島根県,66156,36921,29235,medical,20210618
33,岡山県,188111,105731,82380,medical,20210618
34,広島県,240480,134869,105611,medical,20210618
35,山口県,144054,79042,65012,medical,20210618
36,徳島県,86668,47228,39440,medical,20210618
37,香川県,84707,46638,38069,medical,20210618
38,愛媛県,135362,73823,61539,medical,20210618
39,高知県,70205,37803,32402,medical,20210618
40,福岡県,435000,242630,192370,medical,20210618
41,佐賀県,94896,52670,42226,medical,20210618
42,長崎県,133475,71646,61829,medical,20210618
43,熊本県,179079,95762,83317,medical,20210618
44,大分県,117635,62039,55596,medical,20210618
45,宮崎県,97645,53704,43941,medical,20210618
46,鹿児島県,166643,93344,73299,medical,20210618
47,沖縄県,106645,59252,47393,medical,20210618
1,北海道,518444,288261,230183,medical,20210625
2,青森県,109811,60309,49502,medical,20210625
3,岩手県,116700,63542,53158,medical,20210625
4,宮城県,219448,131598,87850,medical,20210625
5,秋田県,88972,49178,39794,medical,20210625
6,山形県,100127,53942,46185,medical,20210625
7,福島県,168401,93105,75296,medical,20210625
8,茨城県,234994,131033,103961,medical,20210625
9,栃木県,140311,77455,62856,medical,20210625
10,群馬県,169400,94374,75026,medical,20210625
11,埼玉県,504881,278469,226412,medical,20210625
12,千葉県,438976,246606,192370,medical,20210625
13,東京都,994909,548036,446873,medical,20210625
14,神奈川県,632546,346183,286363,medical,20210625
15,新潟県,183180,104531,78649,medical,20210625
16,富山県,96057,51826,44231,medical,20210625
17,石川県,109512,60602,48910,medical,20210625
18,福井県,85166,44945,40221,medical,20210625
19,山梨県,67669,37195,30474,medical,20210625
20,長野県,163270,88915,74355,medical,20210625
21,岐阜県,180966,96278,84688,medical,20210625
22,静岡県,265118,148385,116733,medical,20210625
23,愛知県,554631,306798,247833,medical,20210625
24,三重県,152362,81526,70836,medical,20210625
25,滋賀県,103400,56116,47284,medical,20210625
26,京都府,220728,121810,98918,medical,20210625
27,大阪府,642062,360286,281776,medical,20210625
28,兵庫県,427726,236228,191498,medical,20210625
29,奈良県,122816,66222,56594,medical,20210625
30,和歌山県,88705,48116,40589,medical,20210625
31,鳥取県,55866,30786,25080,medical,20210625
32,島根県,69112,37736,31376,medical,20210625
33,岡山県,203212,113583,89629,medical,20210625
34,広島県,255391,142529,112862,medical,20210625
35,山口県,151052,82396,68656,medical,20210625
36,徳島県,89232,47824,41408,medical,20210625
37,香川県,88652,48383,40269,medical,20210625
38,愛媛県,140763,76706,64057,medical,20210625
39,高知県,74857,39972,34885,medical,20210625
40,福岡県,457320,250988,206332,medical,20210625
41,佐賀県,103260,55429,47831,medical,20210625
42,長崎県,139517,74673,64844,medical,20210625
43,熊本県,211081,110650,100431,medical,20210625
44,大分県,121597,64218,57379,medical,20210625
45,宮崎県,103383,56067,47316,medical,20210625
46,鹿児島県,177362,98225,79137,medical,20210625
47,沖縄県,111470,61868,49602,medical,20210625
1,北海道,548235,300156,248079,medical,20210702
2,青森県,114688,62375,52313,medical,20210702
3,岩手県,122207,65515,56692,medical,20210702
4,宮城県,229136,135464,93672,medical,20210702
5,秋田県,92381,51758,40623,medical,20210702
6,山形県,103399,55104,48295,medical,20210702
7,福島県,179159,96477,82682,medical,20210702
8,茨城県,246115,135551,110564,medical,20210702
9,栃木県,147363,79482,67881,medical,20210702
10,群馬県,176915,97079,79836,medical,20210702
11,埼玉県,523466,286035,237431,medical,20210702
12,千葉県,460088,253947,206141,medical,20210702
13,東京都,1048177,570744,477433,medical,20210702
14,神奈川県,659583,360112,299471,medical,20210702
15,新潟県,194444,109995,84449,medical,20210702
16,富山県,100237,53562,46675,medical,20210702
17,石川県,115750,62367,53383,medical,20210702
18,福井県,88835,47295,41540,medical,20210702
19,山梨県,74816,41395,33421,medical,20210702
20,長野県,171830,92902,78928,medical,20210702
21,岐阜県,187480,98037,89443,medical,20210702
22,静岡県,277807,152513,125294,medical,20210702
23,愛知県,577950,317543,260407,medical,20210702
24,三重県,156789,83102,73687,medical,20210702
25,滋賀県,109335,57988,51347,medical,20210702
26,京都府,236302,130666,105636,medical,20210702
27,大阪府,680919,374362,306557,medical,20210702
28,兵庫県,453757,246288,207469,medical,20210702
29,奈良県,128892,68789,60103,medical,20210702
30,和歌山県,93207,50461,42746,medical,20210702
31,鳥取県,59623,31569,28054,medical,20210702
32,島根県,70906,38480,32426,medical,20210702
33,岡山県,215183,119242,95941,medical,20210702
34,広島県,268672,148042,120630,medical,20210702
35,山口県,157935,85906,72029,medical,20210702
36,徳島県,93924,49592,44332,medical,20210702
37,香川県,93344,50594,42750,medical,20210702
38,愛媛県,146816,78956,67860,medical,20210702
39,高知県,78854,42205,36649,medical,20210702
40,福岡県,469667,255725,213942,medical,20210702
41,佐賀県,108083,57466,50617,medical,20210702
42,長崎県,141797,75654,66143,medical,20210702
43,熊本県,225914,117825,108089,medical,20210702
44,大分県,124882,66202,58680,medical,20210702
45,宮崎県,106715,57559,49156,medical,20210702
46,鹿児島県,185358,101497,83861,medical,20210702
47,沖縄県,117416,64290,53126,medical,20210702
1,北海道,580306,314908,265398,medical,20210712
2,青森県,119037,64273,54764,medical,20210712
3,岩手県,129006,69608,59398,medical,20210712
4,宮城県,247475,141687,105788,medical,20210712
5,秋田県,98621,54610,44011,medical,20210712
6,山形県,108354,57616,50738,medical,20210712
7,福島県,187384,99621,87763,medical,20210712
8,茨城県,257851,140623,117228,medical,20210712
9,栃木県,153260,81839,71421,medical,20210712
10,群馬県,183009,100123,82886,medical,20210712
11,埼玉県,547132,297370,249762,medical,20210712
12,千葉県,480861,262092,218769,medical,20210712
13,東京都,1091420,589802,501618,medical,20210712
14,神奈川県,692046,372043,320003,medical,20210712
15,新潟県,203437,115106,88331,medical,20210712
16,富山県,102967,54203,48764,medical,20210712
17,石川県,120937,64457,56480,medical,20210712
18,福井県,90697,48301,42396,medical,20210712
19,山梨県,77513,42726,34787,medical,20210712
20,長野県,184467,100392,84075,medical,20210712
21,岐阜県,193122,101035,92087,medical,20210712
22,静岡県,291151,158292,132859,medical,20210712
23,愛知県,594218,325107,269111,medical,20210712
24,三重県,162249,85649,76600,medical,20210712
25,滋賀県,113417,60155,53262,medical,20210712
26,京都府,245579,134197,111382,medical,20210712
27,大阪府,718506,389647,328859,medical,20210712
28,兵庫県,478863,256762,222101,medical,20210712
29,奈良県,133320,70554,62766,medical,20210712
30,和歌山県,97126,52297,44829,medical,20210712
31,鳥取県,61491,32385,29106,medical,20210712
32,島根県,72372,39181,33191,medical,20210712
33,岡山県,227831,128064,99767,medical,20210712
34,広島県,276576,148368,128208,medical,20210712
35,山口県,167426,91283,76143,medical,20210712
36,徳島県,95477,50341,45136,medical,20210712
37,香川県,97452,52316,45136,medical,20210712
38,愛媛県,151498,79878,71620,medical,20210712
39,高知県,81315,42903,38412,medical,20210712
40,福岡県,489038,261995,227043,medical,20210712
41,佐賀県,110627,58790,51837,medical,20210712
42,長崎県,147077,77754,69323,medical,20210712
43,熊本県,230169,119579,110590,medical,20210712
