日付,都道府県略称,陽性者数,検査人数
20200414,岡山,16,669
20200414,広島,57,2091
20200414,山口,24,657
20200414,徳島,3,236
20200414,香川,16,546
20200414,愛媛,37,631
20200414,高知,60,913
20200414,福岡,373,5051
20200414,佐賀,13,405
20200414,長崎,14,1106
20200414,熊本,28,1877
20200414,大分,43,2161
20200414,宮崎,17,703
20200414,鹿児島,4,614
20200414,沖縄,72,816
20200415,北海道,279,3297
20200415,青森,22,410
20200415,岩手,0,170
20200415,宮城,64,852
20200415,秋田,16,603
20200415,山形,39,1055
20200415,福島,39,706
20200415,茨城,116,2719
20200415,栃木,38,1121
20200415,群馬,97,1787
20200415,埼玉,433,3056
20200415,千葉,490,2447
20200415,東京,2332,6563
20200415,神奈川,594,3306
20200415,新潟,45,1787
20200415,富山,54,956
20200415,石川,131,778
20200415,福井,92,765
20200415,山梨,36,1205
20200415,長野,35,1106
20200415,岐阜,127,1519
20200415,静岡,46,1647
20200415,愛知,338,4250
20200415,三重,19,1002
20200415,滋賀,51,599
20200415,京都,210,2275
20200415,大阪,895,3140
20200415,兵庫,403,4403
20200415,奈良,47,641
20200415,和歌山,35,2119
20200415,鳥取,1,432
20200415,島根,10,442
20200415,岡山,16,688
20200415,広島,66,2276
20200415,山口,25,738
20200415,徳島,3,248
20200415,香川,20,637
20200415,愛媛,39,653
20200415,高知,60,935
20200415,福岡,403,5195
20200415,佐賀,15,422
20200415,長崎,14,1142
20200415,熊本,29,1944
20200415,大分,43,2172
20200415,宮崎,17,733
20200415,鹿児島,4,628
20200415,沖縄,76,856
20200416,北海道,302,3473
20200416,青森,22,433
20200416,岩手,0,181
20200416,宮城,65,992
20200416,秋田,16,666
20200416,山形,45,1118
20200416,福島,40,786
20200416,茨城,119,2883
20200416,栃木,39,1167
20200416,群馬,107,1866
20200416,埼玉,479,3635
20200416,千葉,484,2688
20200416,東京,2457,6654
20200416,神奈川,550,3476
20200416,新潟,46,1874
20200416,富山,54,1021
20200416,石川,140,826
20200416,福井,100,865
20200416,山梨,39,1295
20200416,長野,36,1159
20200416,岐阜,128,1626
20200416,静岡,47,1790
20200416,愛知,350,4784
20200416,三重,20,1039
20200416,滋賀,52,636
20200416,京都,215,2362
20200416,大阪,844,3504
20200416,兵庫,423,4640
20200416,奈良,53,676
20200416,和歌山,37,2197
20200416,鳥取,1,446
20200416,島根,13,517
20200416,岡山,16,722
20200416,広島,67,2334
20200416,山口,28,773
20200416,徳島,3,259
20200416,香川,20,721
20200416,愛媛,40,680
20200416,高知,62,1007
20200416,福岡,433,5667
20200416,佐賀,17,451
20200416,長崎,15,1221
20200416,熊本,31,2056
20200416,大分,50,2239
20200416,宮崎,17,790
20200416,鹿児島,4,699
20200416,沖縄,86,931
20200417,北海道,336,3625
20200417,青森,22,447
20200417,岩手,0,205
20200417,宮城,75,1109
20200417,秋田,16,688
